HONDA	BEAT POP SERIES	ALL NEW BEAT POP ESP	2014,2015,2016,2017,2018,2019,2020	HITAM,MERAH,PUTIH,BIRU,PUTIH-BIRU
HONDA	BEAT POP SERIES	BEAT POP	2014,2015,2016,2017,2018,2019,2020	HITAM,MERAH,PUTIH,COKLAT,HIJAU,KREM
HONDA	BEAT SPORTY SERIES	BEAT STREET ESP	2016,2017,2018,2019,2020,2021	HITAM,PUTIH,SILVER,KUNING,PUTIH-SILVER,HITAM-SILVER
HONDA	BEAT SPORTY SERIES	ALL NEW BEAT ESP	2016,2017,2018,2019,2020	HITAM,PUTIH,PUTIH-MERAH
HONDA	BEAT SPORTY SERIES	ALL NEW BEAT ESP CBS	2016,2017,2018,2019,2020,2021	HITAM,MERAH,PUTIH,ABU-ABU,BIRU,ORANYE,SILVER,COKLAT,GOLD,VIOLET,HIJAU,MAGENTA / PINK,PUTIH-BIRU
HONDA	BEAT SPORTY SERIES	ALL NEW BEAT ESP CBS ISS	2016,2017,2018,2019,2020,2021	HITAM,MERAH,PUTIH,ABU-ABU,BIRU,SILVER,COKLAT,GOLD,VIOLET,HIJAU,KREM,HITAM-MERAH
HONDA	BEAT SPORTY SERIES	BEAT SPORTY ESP CBS ISS	2012,2013,2014,2015,2016	HITAM,MERAH,PUTIH,ABU-ABU,BIRU,ORANYE,SILVER,COKLAT,HIJAU,KREM,KUNING
HONDA	BEAT SERIES	BEAT SPORTY CBS	2012,2013,2014,2015,2016	HITAM,MERAH,PUTIH,ORANYE,MAGENTA / PINK,MAGENTA-HITAM,PUTIH-BIRU
HONDA	BEAT SERIES	BEAT	2011,2012,2013,2014,2015,2016,2017,2018,2019,2020	HITAM,MERAH,PUTIH,BIRU,ORANYE,MAGENTA / PINK,PUTIH-BIRU
HONDA	BEAT SERIES	BEAT SPORTY	2012,2013,2014,2015,2016	HITAM,MERAH,PUTIH,ABU-ABU,BIRU,HIJAU,KREM,PUTIH-BIRU
HONDA	BLADE SERIES	NEW BLADE 125 FI	2014,2015,2016,2017,2018,2019	MERAH,ORANYE,HIJAU,MERAH-PUTIH-BIRU
HONDA	BLADE SERIES	BLADE 110	2011,2012,2013,2014	HITAM,MERAH,PUTIH,ABU-ABU,BIRU,ORANYE,SILVER,COKLAT,GOLD,VIOLET,HIJAU
HONDA	BLADE SERIES	NEW BLADE 110	2011,2012,2013,2014	HITAM,MERAH,PUTIH,ABU-ABU,BIRU,ORANYE,COKLAT
HONDA	BLADE SERIES	BLADE 125	2014,2015,2016,2017,2018,2019	HITAM,MERAH,PUTIH,ABU-ABU,BIRU,ORANYE,COKLAT,HIJAU,KREM
HONDA	CB150 R	CB150R STREETFIRE	2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021	HITAM,MERAH,PUTIH,SILVER,HITAM-MERAH
HONDA	CBR 150 SERIES	CBR 150R	2011,2012,2013,2014,2015,2016	HITAM,MERAH,PUTIH,MERAH-PUTIH-BIRU
HONDA	CBR 150 SERIES	THE ALL NEW CBR 150R	2016,2017,2018,2019,2020,2021	HITAM,MERAH,PUTIH,ORANYE,MERAH-PUTIH-BIRU
HONDA	CBR 250 SERIES	CBR 250RR	2017,2018,2019,2020,2021	HITAM,MERAH,ORANYE,SILVER
HONDA	CBR 250 SERIES	CBR 250R	2011,2012,2013,2014,2015,2016	HITAM,MERAH,ORANYE,SILVER
HONDA	CBR 250 SERIES	CBR 250 ABS	2011,2012,2013,2014,2015,2016	HITAM,MERAH,ORANYE,SILVER,PUTIH-HITAM
HONDA	CRF 250	CRF 250RL	2017,2018,2019,2020	MERAH
HONDA	CRF 150	CRF 150L	2017,2018,2019,2020,2021	HITAM,MERAH,PUTIH
HONDA	MEGAPRO SERIES	MEGA PRO	2011,2012,2013,2014,2015,2016	HITAM,MERAH,PUTIH,BIRU
HONDA	MEGAPRO SERIES	MEGAPRO FI	2013,2014,2015,2016,2017,2018,2019	HITAM,MERAH,PUTIH,BIRU
HONDA	PCX SERIES	PCX 150 CBS	2017,2018,2019,2020,2021	HITAM,MERAH,PUTIH,ABU-ABU,BIRU,ORANYE,SILVER,COKLAT,GOLD,VIOLET,HIJAU
HONDA	PCX SERIES	PCX 150 ABS	2017,2018,2019,2020,2021	HITAM,MERAH,PUTIH,BIRU,SILVER,GOLD
HONDA	PCX SERIES	PCX CBU 150 CBS	2012,2013,2014,2015,2016,2017	HITAM,MERAH,PUTIH,BIRU,COKLAT
HONDA	PCX SERIES	PCX CBU 125	2010,2011,2012	HITAM,MERAH,PUTIH,BIRU,SILVER
HONDA	PCX SERIES	PCX 150 ABS HYBRID	2018,2019,2020,2021	HITAM,MERAH,PUTIH,BIRU,KREM
HONDA	REVO SERIES	REVO FI	2013,2014,2015,2016,2017,2018,2019	HITAM,PUTIH,PUTIH-MERAH
HONDA	REVO SERIES	REVO X	2017,2018,2019,2020,2021	HITAM,PUTIH
HONDA	REVO SERIES	REVO	2011,2012,2013,2014,2015,2016,2017,2018,2019	HITAM,MERAH,PUTIH,ABU-ABU,BIRU,ORANYE,SILVER,COKLAT,GOLD,VIOLET,HIJAU
HONDA	REVO SERIES	REVO FIT	2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021	HITAM,MERAH,PUTIH,ABU-ABU,BIRU,ORANYE,SILVER,COKLAT,GOLD,VIOLET,HIJAU
HONDA	REVO SERIES	REVO AT	2011,2012,2013	HITAM,MERAH,VIOLET
HONDA	REVO SERIES	ABSOLUTE REVO	2011,2012,2013,2014	HITAM,MERAH,PUTIH,ABU-ABU,BIRU,HIJAU
HONDA	SCOOPY SERIES	SCOOPY ESP	2015,2016,2017,2018,2019,2020,2021	HITAM,MERAH,PUTIH,COKLAT,HITAM-COKELAT,KREM,PUTIH-HITAM,PUTIH-BIRU,PUTIH-HIJAU
HONDA	SCOOPY SERIES	SCOOPY	2011,2012,2013,2014,2015,2016,2017,2018,2019	MERAH,PUTIH,HITAM-COKELAT,PUTIH-HITAM,PUTIH-MERAH,HITAM-MERAH
HONDA	SCOOPY SERIES	SCOOPY FI	2011,2012,2013,2014,2015	HITAM,MERAH,PUTIH,ABU-ABU,BIRU,ORANYE,SILVER,COKLAT,GOLD,HITAM-COKELAT,VIOLET,HIJAU
